ZIP,Median Rent 2016
91606,1183.78
91607,1385.0
91608,1470.0
91609,1097.0
91610,1633.0
91611,1299.0
91612,1299.0
91614,3500.0
91615,1004.0
91617,1443.0
91702,1358.53
91706,1333.71
91709,1628.0
91710,1597.0
91711,1670.4
91715,1025.0
91722,1373.0
91723,1329.71
91724,1785.64
91731,1106.15
91732,1183.06
91733,1116.56
91734,979.0
91740,1658.64
91741,1757.45
91744,1354.19
91745,1703.81
91746,1466.08
91747,1111.0
91748,1739.0
91750,1590.53
91754,1186.0
91755,1284.62
91756,1307.0
91765,1957.62
91766,1379.79
91767,1236.5
91768,1555.64
91769,1173.0
91770,1256.58
91771,1213.0
91772,1213.0
91773,1765.67
91775,1842.0
91776,1357.29
91778,1228.0
91780,1351.0
91786,1508.0
91788,2283.0
91789,2090.4
91790,1342.53
91791,1503.43
91792,1608.73
91793,1438.0
91801,1219.5
91802,1316.0
91803,1222.54
93063,2244.0
93243,1114.0
93510,1500.0
93532,1494.0
93534,1135.68
93535,1073.59
93536,1313.57
93539,897.0
93543,1360.33
93544,994.33
93550,1222.71
93551,1454.06
93552,1369.42
93553,1188.67
93560,1559.0
93563,1129.0
93584,743.0
93586,888.0
93590,950.0
93591,1002.29
