TRACT,ZIP,LA_TRACT
06037123510,91401,123510
06037123510,91405,123510
06037123520,91401,123520
06037123601,91606,123601
06037123601,91401,123601
06037123602,91401,123602
06037123700,91606,123700
06037123800,91606,123800
06037123800,91607,123800
06037123901,91611,123901
06037123901,91606,123901
06037123901,91612,123901
06037123902,91606,123902
06037123902,91607,123902
06037123902,91601,123902
06037124000,91617,124000
06037124000,91607,124000
06037124102,91601,124102
06037124102,91606,124102
06037124103,91609,124103
06037124103,91606,124103
06037124104,91606,124104
06037124105,91606,124105
06037124201,91606,124201
06037124203,91601,124203
06037124203,91606,124203
06037124204,91601,124204
06037124300,91606,124300
06037124300,91601,124300
06037124400,91606,124400
06037124400,91607,124400
06037124500,91401,124500
06037124600,91423,124600
06037124600,91401,124600
06037124700,91604,124700
06037124700,91423,124700
06037124700,91607,124700
06037124700,91401,124700
06037124902,91607,124902
06037124903,91607,124903
06037125100,91607,125100
06037125100,91601,125100
06037125200,91602,125200
06037125200,91601,125200
06037125310,91601,125310
06037125320,91601,125320
06037125320,91603,125320
06037125401,91601,125401
06037125402,91602,125402
06037125402,91601,125402
06037125501,91601,125501
06037125502,91601,125502
06037125502,91602,125502
06037125600,91602,125600
06037125600,91601,125600
06037127102,91405,127102
06037127103,91405,127103
06037127104,91405,127104
06037127210,91405,127210
06037127220,91405,127220
06037127300,91406,127300
06037127300,91405,127300
06037127400,91406,127400
06037127520,91402,127520
06037127520,91406,127520
06037127603,91406,127603
06037127604,91482,127604
06037127604,91409,127604
06037127604,91406,127604
06037127604,91470,127604
06037127605,91406,127605
06037127606,91406,127606
06037127711,91406,127711
06037127711,91411,127711
06037127712,91405,127712
06037127712,91406,127712
06037127803,91405,127803
06037127804,91405,127804
06037127805,91405,127805
06037127805,91411,127805
06037127806,91405,127806
06037127806,91411,127806
06037127806,91401,127806
06037127910,91405,127910
06037127920,91405,127920
06037128101,91405,128101
06037128101,91401,128101
06037128102,91401,128102
06037128102,91405,128102
06037128210,91401,128210
06037128220,91401,128220
06037128302,91411,128302
06037128303,91411,128303
06037128303,91408,128303
06037128303,91407,128303
06037128303,91404,128303
06037128303,91401,128303
06037128400,91411,128400
06037128400,91401,128400
06037128500,91423,128500
06037128500,91401,128500
06037128601,91401,128601
06037128602,91401,128602
06037128602,91423,128602
06037128702,91403,128702
06037128702,91423,128702
06037128801,91411,128801
06037128801,91403,128801
06037128802,91411,128802
06037128802,91403,128802
06037128802,91401,128802
06037128910,91413,128910
06037128910,91495,128910
06037128910,91403,128910
06037128910,91496,128910
06037131010,91335,131010
06037131010,91324,131010
06037131020,91335,131020
06037131100,91406,131100
06037131100,91325,131100
06037131200,91325,131200
06037131300,91335,131300
06037131300,91325,131300
06037131400,91335,131400
06037131400,91325,131400
06037131600,91335,131600
06037131600,91324,131600
06037131701,91335,131701
06037131702,91335,131702
06037131800,91335,131800
06037131800,91337,131800
06037131900,91406,131900
06037132001,91406,132001
06037132002,91406,132002
06037132101,91406,132101
06037132102,91406,132102
06037132300,91335,132300
06037132501,91335,132501
06037132502,91335,132502
06037132700,91316,132700
06037132700,91335,132700
06037132900,91316,132900
06037132900,91335,132900
06037133000,91335,133000
06037133100,91335,133100
06037134001,91304,134001
06037134001,91303,134001
06037134002,91303,134002
06037134002,91306,134002
06037134101,91306,134101
06037134101,91396,134101
06037134103,91306,134103
06037134104,91306,134104
06037134201,91306,134201
06037134201,91304,134201
06037134302,91307,134302
06037134302,91304,134302
06037134303,91307,134303
06037134303,91303,134303
06037134304,91304,134304
06037134304,91303,134304
06037134305,91304,134305
06037134306,91304,134306
06037134421,91307,134421
06037134421,91304,134421
06037134422,91304,134422
06037134422,91307,134422
06037134423,91304,134423
06037134424,91304,134424
06037134424,91307,134424
06037134520,91309,134520
06037134520,91303,134520
06037134520,91305,134520
06037134521,91303,134521
06037134521,91304,134521
06037134522,91304,134522
06037134522,91303,134522
06037134710,91306,134710
06037134720,91306,134720
06037134800,91306,134800
06037134901,91335,134901
06037134901,91367,134901
06037134903,91303,134903
06037134904,91303,134904
06037134904,91306,134904
06037134905,91367,134905
06037134905,91371,134905
06037135102,91367,135102
06037135102,91307,135102
06037135111,91307,135111
06037135111,91303,135111
06037135113,91367,135113
06037135114,91303,135114
06037135114,91367,135114
06037135201,91367,135201
06037135201,91307,135201
06037135202,91307,135202
06037135202,91367,135202
06037135203,91307,135203
06037135203,91367,135203
06037135203,91308,135203
06037137103,91367,137103
06037137104,91367,137104
06037137201,91367,137201
06037137201,91364,137201
06037137301,91367,137301
06037137302,91367,137302
06037137401,91364,137401
06037137401,91365,137401
06037137401,91367,137401
06037137402,91364,137402
06037137402,91302,137402
