Median Rent 2016,Tract Number,Neighborhood,Location
1117,199202,Montecito Heights,"(34.0810735, -118.2029945)"
1127,199300,Montecito Heights,"(34.0915875, -118.2007585)"
1022,199400,Montecito Heights,"(34.0875695, -118.209014)"
1195,199700,Lincoln Heights,"(34.0679435, -118.221008)"
963,199800,Lincoln Heights,"(34.070658, -118.2103495)"
910,199900,Lincoln Heights,"(34.0639545, -118.2104575)"
1105,201110,El Sereno,"(34.095485, -118.1746015)"
1094,201120,El Sereno,"(34.094111, -118.1626205)"
1035,201200,El Sereno,"(34.0890575, -118.177957)"
966,201301,Montecito Heights,"(34.088628, -118.187094)"
1652,201302,Montecito Heights,"(34.098103, -118.1841585)"
1108,201401,El Sereno,"(34.0809785, -118.18591)"
935,201402,El Sereno,"(34.0686905, -118.188445)"
1056,201501,El Sereno,"(34.0872435, -118.1663745)"
1137,201503,El Sereno,"(34.0853625, -118.1734105)"
1201,201504,El Sereno,"(34.0810995, -118.1730255)"
970,201601,El Sereno,"(34.071752, -118.17646)"
1212,201602,El Sereno,"(34.075975, -118.168817)"
1161,201700,El Sereno,"(34.068283, -118.1738345)"
799,203100,Boyle Heights,"(34.059408, -118.197818)"
1048,203200,Boyle Heights,"(34.0517485, -118.1981725)"
1043,203300,Boyle Heights,"(34.059558, -118.205929)"
1011,203500,Boyle Heights,"(34.0549495, -118.2212065)"
1031,203600,Boyle Heights,"(34.0509745, -118.2085545)"
1043,203710,Boyle Heights,"(34.04985, -118.2009955)"
920,203720,Boyle Heights,"(34.046939, -118.203105)"
1107,203800,Boyle Heights,"(34.045049, -118.196441)"
1087,203900,Boyle Heights,"(34.0342105, -118.195139)"
1040,204110,Boyle Heights,"(34.038791, -118.198734)"
1071,204120,Boyle Heights,"(34.033887, -118.2011895)"
930,204200,Boyle Heights,"(34.043615, -118.205084)"
957,204300,Boyle Heights,"(34.038738, -118.208061)"
924,204410,Boyle Heights,"(34.046181, -118.214985)"
831,204420,Boyle Heights,"(34.0445335, -118.211622)"
981,204600,Boyle Heights,"(34.036247, -118.2161145)"
926,204700,Boyle Heights,"(34.030962, -118.212412)"
1013,204810,Boyle Heights,"(34.028574, -118.2027025)"
1056,204820,Boyle Heights,"(34.023785, -118.2058885)"
963,204910,Boyle Heights,"(34.0250545, -118.1964135)"
1071,204920,Boyle Heights,"(34.0181175, -118.197122)"
1165,205110,Boyle Heights,"(34.0244945, -118.214114)"
969,205120,Boyle Heights,"(34.0191645, -118.2113105)"
653,206010,Elysian Park,"(34.0702965, -118.2318745)"
2178,206020,Chinatown,"(34.057696, -118.232064)"
2218,206031,Downtown,"(34.0344105, -118.23121)"
834,206032,Boyle Heights,"(34.0473465, -118.2237095)"
804,206050,Boyle Heights,"(34.0290235, -118.2229675)"
492,206200,Downtown,"(34.04707, -118.2428045)"
299,206300,Downtown,"(34.0405235, -118.244262)"
1560,207101,Downtown,"(34.0610075, -118.2449835)"
710,207102,Chinatown,"(34.058835, -118.239167)"
941,207103,Chinatown,"(34.0642795, -118.2398345)"
1324,207301,Downtown,"(34.0469135, -118.251366)"
1699,207302,Downtown,"(34.0474815, -118.2478185)"
1313,207400,Downtown,"(34.056393, -118.24561)"
1752,207501,Downtown,"(34.0565345, -118.2528675)"
406,207502,Downtown,"(34.0524315, -118.253282)"
2023,207710,Downtown,"(34.0467345, -118.2622625)"
2178,207900,Downtown,"(34.0403745, -118.260362)"
1165,208000,Echo Park,"(34.062852, -118.2552085)"
1061,208301,Westlake,"(34.061991, -118.265842)"
862,208302,Westlake,"(34.0634965, -118.26261)"
854,208401,Westlake,"(34.063775, -118.269137)"
1066,208402,Westlake,"(34.0682985, -118.265581)"
1141,208501,Westlake,"(34.0694385, -118.271932)"
901,208502,Westlake,"(34.0660235, -118.2741745)"
1134,208610,Westlake,"(34.071928, -118.280946)"
1116,208620,Westlake,"(34.069656, -118.2780295)"
1183,208710,Westlake,"(34.065666, -118.282003)"
816,208720,Westlake,"(34.062837, -118.2811225)"
938,208801,Westlake,"(34.0602215, -118.276593)"
897,208802,Westlake,"(34.061881, -118.2785535)"
929,208902,Westlake,"(34.0564435, -118.2723635)"
813,208903,Westlake,"(34.0594445, -118.273509)"
736,208904,Westlake,"(34.059592, -118.270177)"
796,209102,Westlake,"(34.05566, -118.2674565)"
818,209103,Westlake,"(34.0570845, -118.2639395)"
770,209104,Westlake,"(34.058994, -118.2663115)"
1597,209200,Westlake,"(34.054276, -118.26086)"
937,209300,Westlake,"(34.0508765, -118.2678705)"
774,209401,Westlake,"(34.0568345, -118.2810775)"
808,209402,Westlake,"(34.0546635, -118.2772135)"
697,209403,Westlake,"(34.0531325, -118.273845)"
887,209510,Westlake,"(34.0530605, -118.281509)"
868,209520,Pico-Union,"(34.050539, -118.2769545)"
842,209810,Pico-Union,"(34.049228, -118.2819155)"
847,209820,Pico-Union,"(34.047197, -118.278215)"
810,210010,Pico-Union,"(34.0467975, -118.2717075)"
1916,211000,Hancock Park,"(34.0683115, -118.3326325)"
1221,211120,Westlake,"(34.0652025, -118.286978)"
1295,211121,Westlake,"(34.0726225, -118.2849265)"
1160,211122,Koreatown,"(34.0726525, -118.289233)"
1007,211201,Koreatown,"(34.074518, -118.298475)"
980,211202,Koreatown,"(34.074526, -118.2941155)"
1076,211310,Koreatown,"(34.0708895, -118.298462)"
884,211320,Koreatown,"(34.0708825, -118.294158)"
1093,211410,Koreatown,"(34.0726125, -118.307315)"
1010,211420,Koreatown,"(34.072636, -118.302937)"
1169,211500,Windsor Square,"(34.0725965, -118.316)"
1643,211701,Windsor Square,"(34.0653255, -118.3184645)"
1151,211703,Koreatown,"(34.067143, -118.311589)"
1067,211704,Koreatown,"(34.0635115, -118.3116385)"
1124,211802,Koreatown,"(34.0635375, -118.304729)"
1216,211803,Koreatown,"(34.0671885, -118.3022325)"
1183,211804,Koreatown,"(34.0671615, -118.3066105)"
1121,211910,Koreatown,"(34.067207, -118.2985)"
1041,211921,Koreatown,"(34.067232, -118.292902)"
1118,211922,Koreatown,"(34.067223, -118.295398)"
1355,212101,Koreatown,"(34.0635935, -118.29414)"
945,212102,Koreatown,"(34.0635735, -118.298496)"
834,212202,Westlake,"(34.056368, -118.2879195)"
804,212203,Koreatown,"(34.0597625, -118.290359)"
792,212204,Westlake,"(34.0597755, -118.2861875)"
823,212303,Koreatown,"(34.059763, -118.2935145)"
857,212304,Koreatown,"(34.0597395, -118.2982)"
1144,212306,Koreatown,"(34.0561295, -118.2940735)"
1247,212410,Koreatown,"(34.05971, -118.301987)"
1063,212420,Koreatown,"(34.056087, -118.301978)"
1057,212501,Koreatown,"(34.0560675, -118.305364)"
1156,212502,Koreatown,"(34.0580795, -118.306623)"
1118,212610,Koreatown,"(34.0598685, -118.314272)"
1089,212620,Koreatown,"(34.0562585, -118.313612)"
1152,212701,Koreatown,"(34.0546775, -118.3194445)"
1691,212702,Mid-Wilshire,"(34.0575235, -118.3258035)"
1130,212800,Mid-Wilshire,"(34.0523625, -118.330411)"
1088,212900,Arlington Heights,"(34.0501175, -118.321485)"
1142,213100,Arlington Heights,"(34.0508045, -118.3133105)"
1053,213201,Harvard Heights,"(34.052656, -118.3044735)"
1022,213202,Harvard Heights,"(34.0490315, -118.3045065)"
1163,213310,Pico-Union,"(34.0508675, -118.29803)"
873,213320,Pico-Union,"(34.0508855, -118.2937275)"
1061,213401,Westlake,"(34.053716, -118.287906)"
999,213402,Pico-Union,"(34.0498995, -118.28787)"
1915,214000,Fairfax,"(34.0745805, -118.3486205)"
2410,214100,Hancock Park,"(34.074602, -118.339096)"
1755,214400,Fairfax,"(34.078166, -118.3573315)"
2435,214501,Mid-Wilshire,"(34.070503, -118.357312)"
2138,214502,Mid-Wilshire,"(34.0677735, -118.35135)"
1964,214503,Mid-Wilshire,"(34.0673015, -118.3536195)"
1834,214600,Beverly Grove,"(34.0725795, -118.365913)"
1821,214700,Beverly Grove,"(34.0665205, -118.366383)"
1897,214800,Beverly Grove,"(34.070088, -118.3732965)"
1830,214901,Beverly Grove,"(34.0742895, -118.387219)"
2058,214902,Beverly Grove,"(34.073012, -118.379762)"
1649,215101,Mid-Wilshire,"(34.063565, -118.3542505)"
1596,215102,Mid-Wilshire,"(34.0648495, -118.3456205)"
1583,216100,Mid-Wilshire,"(34.0568595, -118.3378575)"
1771,216200,Mid-Wilshire,"(34.05688, -118.3480075)"
1682,216300,Carthay,"(34.059083, -118.363807)"
1606,216401,Pico-Robertson,"(34.0563915, -118.3799175)"
1765,216402,Pico-Robertson,"(34.06116, -118.3804405)"
1618,216700,Mid-City,"(34.048208, -118.371729)"
1878,216800,Carthay,"(34.055507, -118.369996)"
1412,216900,Mid-City,"(34.0504795, -118.36321)"
1811,217001,Pico-Robertson,"(34.0519395, -118.3873275)"
1527,217002,Pico-Robertson,"(34.049649, -118.381096)"
1281,217100,Mid-Wilshire,"(34.049342, -118.354404)"
1308,217200,Mid-Wilshire,"(34.049375, -118.3418365)"
1134,218110,Arlington Heights,"(34.044154, -118.3286425)"
1026,218120,Arlington Heights,"(34.0436875, -118.320626)"
1088,218210,Mid-City,"(34.043303, -118.3422655)"
1125,218220,Mid-City,"(34.043498, -118.334779)"
1175,218300,Mid-City,"(34.041276, -118.3549225)"
1196,218400,Mid-City,"(34.037613, -118.3607045)"
1142,218500,Mid-City,"(34.0375635, -118.3505565)"
1195,218600,Mid-City,"(34.037184, -118.3427065)"
983,218701,Mid-City,"(34.0372715, -118.333362)"
897,218702,West Adams,"(34.0327605, -118.335031)"
1053,218800,Arlington Heights,"(34.037556, -118.323034)"
1073,218900,Jefferson Park,"(34.0331165, -118.3238185)"
1282,219010,Jefferson Park,"(34.027596, -118.322938)"
971,219020,Jefferson Park,"(34.021941, -118.3229865)"
1045,219300,Jefferson Park,"(34.026962, -118.3316675)"
1081,219500,Baldwin Hills/Crenshaw,"(34.0211635, -118.3405655)"
974,219700,West Adams,"(34.028076, -118.347852)"
1012,219800,West Adams,"(34.0298385, -118.354579)"
1044,219901,West Adams,"(34.0297025, -118.3604535)"
1303,219902,West Adams,"(34.0305455, -118.36963)"
1140,220000,West Adams,"(34.0276275, -118.3405665)"
1037,220100,Baldwin Hills/Crenshaw,"(34.0241755, -118.3664325)"
925,221110,Pico-Union,"(34.0455315, -118.2878625)"
1044,221120,Pico-Union,"(34.042054, -118.2878455)"
1059,221210,Harvard Heights,"(34.04359, -118.3026265)"
987,221220,Pico-Union,"(34.0436145, -118.2961455)"
1090,221302,Harvard Heights,"(34.0417465, -118.3114895)"
920,221303,Harvard Heights,"(34.0453825, -118.308407)"
1097,221304,Arlington Heights,"(34.045369, -118.314651)"
774,221401,Jefferson Park,"(34.0339245, -118.3133125)"
1027,221402,Harvard Heights,"(34.038279, -118.308985)"
885,221500,Adams-Normandie,"(34.034856, -118.3046185)"
928,221601,Adams-Normandie,"(34.034833, -118.2959055)"
1028,221602,Pico-Union,"(34.038415, -118.292179)"
1045,221710,University Park,"(34.034366, -118.287757)"
1050,221810,Adams-Normandie,"(34.0305765, -118.292359)"
1424,221820,University Park,"(34.0305755, -118.286386)"
1058,221900,University Park,"(34.0260705, -118.289757)"
1244,222001,Jefferson Park,"(34.0282015, -118.3132745)"
1203,222002,Exposition Park,"(34.0218995, -118.3135615)"
1093,222100,Adams-Normandie,"(34.027317, -118.3024105)"
965,222200,Adams-Normandie,"(34.0309165, -118.302424)"
1178,222500,Exposition Park,"(34.021865, -118.3045305)"
1115,222600,Exposition Park,"(34.0218365, -118.2958795)"
2432,222700,University Park,"(34.020537, -118.2847645)"
704,224010,Downtown,"(34.036945, -118.2655625)"
772,224020,Historic South-Central,"(34.030734, -118.267245)"
847,224200,Pico-Union,"(34.041032, -118.277298)"
849,224310,Pico-Union,"(34.043569, -118.2820315)"
777,224320,Pico-Union,"(34.041517, -118.2804885)"
1009,224410,University Park,"(34.0343195, -118.2789565)"
785,224420,University Park,"(34.0318675, -118.2778715)"
828,224600,Historic South-Central,"(34.0223275, -118.2717135)"
1526,224700,University Park,"(34.0263755, -118.279223)"
1088,226001,Historic South-Central,"(34.0245655, -118.251001)"
632,226002,Downtown,"(34.033429, -118.249304)"
957,226410,Historic South-Central,"(34.0242035, -118.2622875)"
925,226420,Historic South-Central,"(34.021775, -118.2569205)"
1056,226700,Historic South-Central,"(34.017615, -118.2623795)"
1099,227010,Central-Alameda,"(34.018875, -118.247064)"
918,227020,Central-Alameda,"(34.0161415, -118.2516245)"
1144,228100,Central-Alameda,"(34.010118, -118.244922)"
1022,228210,Central-Alameda,"(34.010168, -118.2525945)"
990,228220,Central-Alameda,"(34.0065835, -118.2519225)"
1014,228310,Historic South-Central,"(34.011872, -118.262852)"
1008,228320,Historic South-Central,"(34.007893, -118.263681)"
1130,228410,Historic South-Central,"(34.014163, -118.2690345)"
936,228420,Historic South-Central,"(34.00749, -118.270975)"
1030,228500,South Park,"(34.003629, -118.2695985)"
981,228600,South Park,"(34.003674, -118.260853)"
1014,228710,Central-Alameda,"(33.9993805, -118.2542925)"
1087,228720,Central-Alameda,"(33.9993695, -118.2499415)"
825,228800,Central-Alameda,"(33.999104, -118.2430855)"
513,228900,Central-Alameda,"(33.992114, -118.242838)"
1167,229100,Central-Alameda,"(33.992164, -118.2520985)"
816,229200,South Park,"(33.99828, -118.260835)"
1121,229300,South Park,"(33.998151, -118.269586)"
970,229410,South Park,"(33.9922445, -118.2695665)"
1089,229420,South Park,"(33.9925325, -118.2608205)"
940,231100,Historic South-Central,"(34.016069, -118.2760825)"
971,231210,Exposition Park,"(34.014521, -118.2980095)"
975,231220,Exposition Park,"(34.014515, -118.28932)"
1020,231300,Exposition Park,"(34.0145435, -118.304539)"
1001,231400,Exposition Park,"(34.014552, -118.312994)"
1138,231500,Vermont Square,"(34.0072765, -118.310826)"
1006,231600,Vermont Square,"(34.00727, -118.2980435)"
977,231710,Vermont Square,"(34.007373, -118.2893345)"
1037,231720,Vermont Square,"(34.007429, -118.2840635)"
1052,231800,Historic South-Central,"(34.0074525, -118.27748)"
945,231900,South Park,"(33.9996995, -118.277466)"
994,232110,Vermont Square,"(33.9994895, -118.2893225)"
981,232120,Vermont Square,"(33.9997375, -118.28378)"
1028,232200,Vermont Square,"(34.0016535, -118.2980375)"
1244,232300,Vermont Square,"(33.9975775, -118.29803)"
1069,232400,Vermont Square,"(33.999376, -118.310834)"
1184,232500,Chesterfield Square,"(33.992088, -118.3107815)"
974,232600,Vermont-Slauson,"(33.9920885, -118.298021)"
1076,232700,Vermont-Slauson,"(33.992427, -118.285947)"
1072,232800,South Park,"(33.9924525, -118.2771805)"
990,234000,Leimert Park,"(34.011672, -118.322292)"
1198,234200,Leimert Park,"(34.016776, -118.331087)"
1117,234300,Leimert Park,"(34.007159, -118.3293635)"
1050,234501,Hyde Park,"(33.997504, -118.3246435)"
1017,234502,Hyde Park,"(34.001849, -118.32479)"
993,234600,Hyde Park,"(33.9926585, -118.327201)"
989,234700,Hyde Park,"(33.987231, -118.327693)"
1123,234800,Hyde Park,"(33.9818325, -118.3220865)"
897,234901,Hyde Park,"(33.981784, -118.328655)"
966,234902,Hyde Park,"(33.981753, -118.3346945)"
1166,235100,Hyde Park,"(33.9855355, -118.348147)"
1143,235201,Hyde Park,"(33.9744985, -118.322127)"
1010,235202,Hyde Park,"(33.972711, -118.3308415)"
1688,236000,Ladera Heights,"(34.009386, -118.367527)"
982,236100,Baldwin Hills/Crenshaw,"(34.0120535, -118.3418225)"
1038,236202,Baldwin Hills/Crenshaw,"(34.0167105, -118.352691)"
1068,236203,Baldwin Hills/Crenshaw,"(34.0176365, -118.347316)"
989,236204,Baldwin Hills/Crenshaw,"(34.014877, -118.349074)"
1233,236400,Baldwin Hills/Crenshaw,"(34.0049835, -118.349179)"
974,237101,Vermont-Slauson,"(33.9855155, -118.291439)"
999,237102,Vermont-Slauson,"(33.9856665, -118.283741)"
898,237201,Vermont-Slauson,"(33.985727, -118.299118)"
1192,237202,Chesterfield Square,"(33.985482, -118.310035)"
1141,237300,Chesterfield Square,"(33.978464, -118.3111655)"
1063,237401,Vermont-Slauson,"(33.9784655, -118.2947775)"
923,237402,Harvard Park,"(33.978462, -118.3013325)"
933,237500,Vermont-Slauson,"(33.978414, -118.289297)"
950,237600,Vermont-Slauson,"(33.978508, -118.283801)"
1081,237710,Vermont Knolls,"(33.972693, -118.28613)"
1096,237720,Vermont Knolls,"(33.9692975, -118.286182)"
989,237800,Vermont Knolls,"(33.9709525, -118.298091)"
1153,237900,Manchester Square,"(33.970932, -118.311186)"
1146,238000,Gramercy Park,"(33.945472, -118.3089905)"
1154,238100,Manchester Square,"(33.963625, -118.3111985)"
983,238200,Vermont Knolls,"(33.963641, -118.2981045)"
987,238310,Vermont Knolls,"(33.9660195, -118.2861825)"
900,238320,Vermont Knolls,"(33.962152, -118.2861365)"
1210,238400,Gramercy Park,"(33.956361, -118.309005)"
1019,239201,Florence,"(33.9857845, -118.277227)"
1140,239202,Florence,"(33.985588, -118.265182)"
1019,239310,Florence,"(33.9785445, -118.27732)"
1101,239320,Florence,"(33.978568, -118.2717375)"
1078,239330,Florence,"(33.9785785, -118.262973)"
1013,239501,Florence,"(33.9729715, -118.2629705)"
1034,239502,Florence,"(33.9693555, -118.262964)"
1024,239601,Florence,"(33.972754, -118.2751255)"
1157,239602,Florence,"(33.9695945, -118.2751195)"
989,239701,Florence,"(33.9660325, -118.2751155)"
1109,239702,Florence,"(33.96229, -118.275105)"
1093,239801,Florence,"(33.96606, -118.2629565)"
1118,239802,Florence,"(33.962406, -118.2629525)"
980,240010,Green Meadows,"(33.9583205, -118.263794)"
1315,240020,Green Meadows,"(33.954224, -118.263804)"
1138,240200,Broadway-Manchester,"(33.9559485, -118.2761875)"
881,240300,Vermont Vista,"(33.9564355, -118.2859575)"
973,240401,Vermont Vista,"(33.949905, -118.2854905)"
993,240402,Vermont Vista,"(33.9445585, -118.285496)"
1195,240500,Broadway-Manchester,"(33.9469185, -118.275892)"
1202,240600,Green Meadows,"(33.946958, -118.2683925)"
1022,240700,Green Meadows,"(33.947574, -118.2593445)"
990,240800,Green Meadows,"(33.9385955, -118.261821)"
1045,240900,Green Meadows,"(33.9348825, -118.261859)"
1108,241001,Green Meadows,"(33.929254, -118.2671865)"
1174,241002,Green Meadows,"(33.925538, -118.2615615)"
1176,241110,Broadway-Manchester,"(33.936481, -118.271695)"
1056,241120,Broadway-Manchester,"(33.9364705, -118.276946)"
1262,241201,Vermont Vista,"(33.9402795, -118.2857015)"
1080,241202,Vermont Vista,"(33.9333785, -118.2856645)"
941,241300,Vermont Vista,"(33.926092, -118.2860545)"
1077,241400,Broadway-Manchester,"(33.925504, -118.275396)"
1110,242000,Watts,"(33.9392665, -118.250222)"
524,242100,Florence-Firestone,"(33.945696, -118.2321075)"
936,242200,Watts,"(33.948204, -118.238625)"
1025,242300,Watts,"(33.948744, -118.246174)"
513,242600,Watts,"(33.932497, -118.2502625)"
1167,242700,Watts,"(33.9363625, -118.242647)"
1524,243000,Watts,"(33.938704, -118.2338885)"
762,243100,Watts,"(33.933448, -118.234588)"
2727,261101,Beverly Hills,"(34.110602, -118.395214)"
1982,261200,Beverly Crest,"(34.108261, -118.4432895)"
2794,262100,Beverly Crest,"(34.1022655, -118.445475)"
2029,262200,Bel-Air,"(34.1015635, -118.468744)"
3063,262301,Brentwood,"(34.10129, -118.494583)"
1988,262302,Brentwood,"(34.0753195, -118.477468)"
2644,262303,Brentwood,"(34.0673175, -118.486919)"
3050,262400,Brentwood,"(34.0876735, -118.5072195)"
3413,262501,Pacific Palisades,"(34.049658, -118.5202905)"
3500,262601,Pacific Palisades,"(34.073806, -118.5567815)"
3215,262604,Pacific Palisades,"(34.05192037, -118.5490685)"
1887,262704,Pacific Palisades,"(34.0424942, -118.5425851)"
2085,262706,Pacific Palisades,"(34.03867557, -118.5269907)"
2021,262802,Pacific Palisades,"(34.0430379, -118.5061199)"
2236,264000,Brentwood,"(34.0560275, -118.4819375)"
2142,264102,Brentwood,"(34.059953, -118.4686465)"
1895,264103,Brentwood,"(34.0553735, -118.466128)"
1873,264301,Brentwood,"(34.0503875, -118.464617)"
2115,264302,Brentwood,"(34.046932, -118.477869)"
2332,265100,Westwood,"(34.073502, -118.42787)"
1544,265201,Westwood,"(34.067255, -118.4366455)"
2252,265202,Westwood,"(34.0617355, -118.4410225)"
1862,265303,Westwood,"(34.067264, -118.4533525)"
1512,265304,Westwood,"(34.0674805, -118.451101)"
1648,265305,Westwood,"(34.0631275, -118.4493085)"
1954,265410,Brentwood,"(34.06678, -118.4636105)"
2601,265420,Westwood,"(34.070607, -118.4605875)"
1930,265510,Westwood,"(34.056185, -118.443321)"
2281,265520,Westwood,"(34.0513145, -118.4415325)"
2062,265601,Westwood,"(34.0558665, -118.433093)"
2350,265602,Westwood,"(34.060621, -118.434347)"
2128,265700,Westwood,"(34.0618485, -118.423284)"
1744,267100,West Los Angeles,"(34.052737, -118.4245685)"
2008,267200,West Los Angeles,"(34.0453165, -118.4373595)"
1439,267300,Sawtelle,"(34.045239, -118.449709)"
1611,267402,Sawtelle,"(34.042643, -118.465557)"
1713,267403,Sawtelle,"(34.047607, -118.4565715)"
2008,267404,Sawtelle,"(34.0456605, -118.460472)"
1563,267501,Sawtelle,"(34.041347, -118.456076)"
1483,267502,Sawtelle,"(34.0373665, -118.4626315)"
1838,267600,Sawtelle,"(34.034536, -118.4525605)"
1705,267700,Sawtelle,"(34.0387565, -118.444387)"
2028,267800,West Los Angeles,"(34.0404165, -118.430463)"
2372,267901,Century City,"(34.0567325, -118.413721)"
1939,267902,West Los Angeles,"(34.047558, -118.4201495)"
2517,269000,Cheviot Hills,"(34.043327, -118.4043575)"
1899,269100,Pico-Robertson,"(34.0528745, -118.3952305)"
2638,269300,Cheviot Hills,"(34.0402885, -118.414036)"
3463,269500,Beverlywood,"(34.0419315, -118.3933555)"
1361,269601,Mid-City,"(34.041783, -118.379673)"
1283,269602,Mid-City,"(34.043301, -118.384325)"
1327,269700,Mid-City,"(34.036058, -118.3859215)"
1487,269800,Palms,"(34.0330585, -118.3968355)"
1441,269903,Palms,"(34.020876, -118.4064875)"
1424,269904,Palms,"(34.0274735, -118.4121435)"
1481,269905,Palms,"(34.0217235, -118.4015665)"
1565,269906,Palms,"(34.025156, -118.403135)"
1363,269907,Palms,"(34.0277405, -118.4066145)"
1530,270100,Palms,"(34.026374, -118.395677)"
1208,270200,Mid-City,"(34.0329455, -118.380005)"
1316,270300,Mid-City,"(34.039747, -118.3704125)"
1508,271100,Rancho Park,"(34.034177, -118.427171)"
1604,271200,Sawtelle,"(34.031579, -118.4431825)"
1700,271300,Sawtelle,"(34.023895, -118.4412965)"
2361,271400,Mar Vista,"(34.010017, -118.4474055)"
1705,271500,Mar Vista,"(34.01663, -118.4375635)"
1780,271600,Mar Vista,"(34.0213795, -118.4310805)"
1649,271701,Palms,"(34.0262225, -118.419751)"
1615,271702,Palms,"(34.025252, -118.426283)"
1458,271801,Palms,"(34.0166435, -118.4181365)"
1497,271802,Palms,"(34.0200095, -118.4125875)"
1619,271901,Mar Vista,"(34.0137065, -118.424224)"
1311,271902,Mar Vista,"(34.009731, -118.4316705)"
1626,272100,Mar Vista,"(34.0038595, -118.4422725)"
1464,272201,Mar Vista,"(34.000385, -118.434124)"
1385,272202,Mar Vista,"(33.9974645, -118.439035)"
1518,272301,Mar Vista,"(34.0044305, -118.4228455)"
1229,272302,Mar Vista,"(34.0022415, -118.4275865)"
2597,273100,Venice,"(34.00358, -118.460606)"
1939,273200,Venice,"(33.99686, -118.4672375)"
1490,273300,Venice,"(33.9956475, -118.472047)"
1505,273402,Venice,"(33.99279828, -118.4770569)"
1805,273502,Venice,"(33.98764338, -118.4696387)"
2195,273600,Venice,"(33.993484, -118.459266)"
1499,273700,Venice,"(33.99869, -118.452731)"
1731,273800,Venice,"(33.9935715, -118.4512505)"
2119,273902,Venice,"(33.98377459, -118.4640606)"
2349,274100,Venice,"(33.9883695, -118.450146)"
1858,274202,Venice,"(33.97183937, -118.4601234)"
1667,275101,Del Rey,"(33.99916, -118.4045585)"
1223,275102,Del Rey,"(33.9978895, -118.4109765)"
1288,275200,Del Rey,"(33.9953035, -118.4216305)"
2189,275302,Del Rey,"(33.9825085, -118.4328715)"
1686,275311,Del Rey,"(33.9886515, -118.4224605)"
2637,275400,Del Rey,"(33.9906355, -118.4389485)"
886,275500,Del Rey,"(33.9923405, -118.4142945)"
2504,275602,Playa Vista,"(33.9755865, -118.414947)"
1393,275603,Playa Vista,"(33.986639, -118.405224)"
1700,276000,Westchester,"(33.9702295, -118.386834)"
1775,276100,Westchester,"(33.975517, -118.372532)"
1750,276400,Westchester,"(33.967988, -118.4089775)"
2456,276500,Westchester,"(33.967159, -118.4197785)"
1831,276601,Westchester,"(33.9657265, -118.432256)"
1806,276603,Playa del Rey,"(33.9562775, -118.437016)"
1891,276604,Westchester,"(33.9567545, -118.4244035)"
1776,277000,Westchester,"(33.9712845, -118.4009375)"
2194,277100,Westchester,"(33.9660065, -118.37815)"
1548,277200,Westchester,"(33.952729, -118.381902)"
1199,277400,Westchester,"(33.949046, -118.3743515)"
1725,278001,Westchester,"(33.955837, -118.4023185)"
2111,278102,Playa del Rey,"(33.96269392, -118.4444466)"
982,291110,Harbor Gateway,"(33.920071, -118.2864)"
999,291120,Harbor Gateway,"(33.9127895, -118.286915)"
905,291130,Harbor Gateway,"(33.901689, -118.287002)"
1095,291210,Harbor Gateway,"(33.8892885, -118.287175)"
1051,291220,Harbor Gateway,"(33.8771105, -118.2864455)"
1367,291300,Gardena,"(33.8659415, -118.295352)"
1313,292000,Harbor Gateway,"(33.847758, -118.297202)"
1170,293201,Harbor Gateway,"(33.831492, -118.3041515)"
1117,293202,Harbor Gateway,"(33.8194175, -118.303755)"
1831,293301,Harbor City,"(33.8102215, -118.303639)"
1353,293302,Harbor City,"(33.802382, -118.304171)"
1100,293304,Harbor City,"(33.792616, -118.3043215)"
1359,293306,Harbor City,"(33.7829565, -118.303708)"
1087,293307,Harbor City,"(33.786479, -118.3043115)"
1116,294110,Wilmington,"(33.797961, -118.2592835)"
1293,294120,Wilmington,"(33.795656, -118.2471535)"
1122,294200,Wilmington,"(33.794846, -118.269301)"
1205,294301,Wilmington,"(33.794497, -118.2807785)"
993,294302,Wilmington,"(33.7848645, -118.2793115)"
907,294410,Harbor City,"(33.794186, -118.288934)"
1008,294421,Harbor City,"(33.7894135, -118.2958265)"
1100,294510,Wilmington,"(33.7865645, -118.271704)"
1123,294520,Wilmington,"(33.7868625, -118.2657205)"
1012,294610,Wilmington,"(33.787242, -118.2581725)"
937,294620,Wilmington,"(33.78725, -118.2472725)"
942,294701,Wilmington,"(33.7766155, -118.25296)"
1093,294810,Wilmington,"(33.779492, -118.271558)"
923,294820,Wilmington,"(33.779804, -118.2655705)"
920,294830,Wilmington,"(33.772277, -118.2673985)"
948,294900,Wilmington,"(33.773417, -118.2779635)"
2240,295103,San Pedro,"(33.760268, -118.2968435)"
848,296210,San Pedro,"(33.748135, -118.283727)"
761,296220,San Pedro,"(33.74101, -118.2837425)"
1685,296300,San Pedro,"(33.7536825, -118.300135)"
1469,296401,San Pedro,"(33.7417575, -118.3143515)"
1453,296402,San Pedro,"(33.7455135, -118.303183)"
1083,296500,San Pedro,"(33.7480855, -118.2929285)"
1041,296600,San Pedro,"(33.739883, -118.292314)"
1092,296901,San Pedro,"(33.730163, -118.2945655)"
1178,296902,San Pedro,"(33.7351435, -118.2945475)"
1373,297000,San Pedro,"(33.7324785, -118.310758)"
1046,297110,San Pedro,"(33.7346615, -118.284188)"
1188,297120,San Pedro,"(33.727169, -118.284224)"
1205,297201,San Pedro,"(33.7247115, -118.2912825)"
